symbol,date,open,high,low,close,volume,adjusted
FCNTX,1980-01-02,1.1369999647140503,1.1369999647140503,1.1369999647140503,1.1369999647140503,0,0.10617797076702118
FCNTX,1980-01-03,1.121999979019165,1.121999979019165,1.121999979019165,1.121999979019165,0,0.10477716475725174
FCNTX,1980-01-04,1.1390000581741333,1.1390000581741333,1.1390000581741333,1.1390000581741333,0,0.10636477172374725
FCNTX,1980-01-07,1.1349999904632568,1.1349999904632568,1.1349999904632568,1.1349999904632568,0,0.1059911847114563
FCNTX,1980-01-08,1.1670000553131104,1.1670000553131104,1.1670000553131104,1.1670000553131104,0,0.10897952318191528
FCNTX,1980-01-09,1.1670000553131104,1.1670000553131104,1.1670000553131104,1.1670000553131104,0,0.10897952318191528
FCNTX,1980-01-10,1.1759999990463257,1.1759999990463257,1.1759999990463257,1.1759999990463257,0,0.10981996357440948
FCNTX,1980-01-11,1.1699999570846558,1.1699999570846558,1.1699999570846558,1.1699999570846558,0,0.10925967246294022
FCNTX,1980-01-14,1.1770000457763672,1.1770000457763672,1.1770000457763672,1.1770000457763672,0,0.10991337150335312
FCNTX,1980-01-15,1.1779999732971191,1.1779999732971191,1.1779999732971191,1.1779999732971191,0,0.11000672727823257
FCNTX,1980-01-16,1.1890000104904175,1.1890000104904175,1.1890000104904175,1.1890000104904175,0,0.11103396117687225
FCNTX,1980-01-17,1.184000015258789,1.184000015258789,1.184000015258789,1.184000015258789,0,0.11056701093912125
FCNTX,1980-01-18,1.1749999523162842,1.1749999523162842,1.1749999523162842,1.1749999523162842,0,0.10972653329372406
FCNTX,1980-01-21,1.1820000410079956,1.1820000410079956,1.1820000410079956,1.1820000410079956,0,0.11038025468587875
FCNTX,1980-01-22,1.1699999570846558,1.1699999570846558,1.1699999570846558,1.1699999570846558,0,0.10925967246294022
FCNTX,1980-01-23,1.1829999685287476,1.1829999685287476,1.1829999685287476,1.1829999685287476,0,0.1104736402630806
FCNTX,1980-01-24,1.1829999685287476,1.1829999685287476,1.1829999685287476,1.1829999685287476,0,0.1104736402630806
FCNTX,1980-01-25,1.1200000047683716,1.1200000047683716,1.1200000047683716,1.1200000047683716,0,0.10459043830633163
FCNTX,1980-01-28,1.1260000467300415,1.1260000467300415,1.1260000467300415,1.1260000467300415,0,0.10515068471431732
FCNTX,1980-01-29,1.1230000257492065,1.1230000257492065,1.1230000257492065,1.1230000257492065,0,0.10487060248851776
FCNTX,1980-01-30,1.1330000162124634,1.1330000162124634,1.1330000162124634,1.1330000162124634,0,0.1058044284582138
FCNTX,1980-01-31,1.1260000467300415,1.1260000467300415,1.1260000467300415,1.1260000467300415,0,0.10515068471431732
FCNTX,1980-02-01,1.1260000467300415,1.1260000467300415,1.1260000467300415,1.1260000467300415,0,0.10515068471431732
FCNTX,1980-02-04,1.1230000257492065,1.1230000257492065,1.1230000257492065,1.1230000257492065,0,0.10487060248851776
FCNTX,1980-02-05,1.1230000257492065,1.1230000257492065,1.1230000257492065,1.1230000257492065,0,0.10487060248851776
FCNTX,1980-02-06,1.1349999904632568,1.1349999904632568,1.1349999904632568,1.1349999904632568,0,0.1059911847114563
FCNTX,1980-02-07,1.1319999694824219,1.1319999694824219,1.1319999694824219,1.1319999694824219,0,0.10571101307868958
FCNTX,1980-02-08,1.1410000324249268,1.1410000324249268,1.1410000324249268,1.1410000324249268,0,0.10655149817466736
FCNTX,1980-02-11,1.1299999952316284,1.1299999952316284,1.1299999952316284,1.1299999952316284,0,0.10552426427602768
FCNTX,1980-02-12,1.1339999437332153,1.1339999437332153,1.1339999437332153,1.1339999437332153,0,0.10589781403541565
FCNTX,1980-02-13,1.1519999504089355,1.1519999504089355,1.1519999504089355,1.1519999504089355,0,0.10757867991924286
FCNTX,1980-02-14,1.1399999856948853,1.1399999856948853,1.1399999856948853,1.1399999856948853,0,0.10645809769630432
FCNTX,1980-02-15,1.1330000162124634,1.1330000162124634,1.1330000162124634,1.1330000162124634,0,0.1058044284582138
FCNTX,1980-02-19,1.1180000305175781,1.1180000305175781,1.1180000305175781,1.1180000305175781,0,0.10440363734960556
FCNTX,1980-02-20,1.13100004196167,1.13100004196167,1.13100004196167,1.13100004196167,0,0.10561767220497131
FCNTX,1980-02-21,1.1200000047683716,1.1200000047683716,1.1200000047683716,1.1200000047683716,0,0.10459043830633163
FCNTX,1980-02-22,1.1119999885559082,1.1119999885559082,1.1119999885559082,1.1119999885559082,0,0.10384339094161987
FCNTX,1980-02-25,1.093000054359436,1.093000054359436,1.093000054359436,1.093000054359436,0,0.10206908732652664
FCNTX,1980-02-26,1.1059999465942383,1.1059999465942383,1.1059999465942383,1.1059999465942383,0,0.10328302532434464
FCNTX,1980-02-27,1.093000054359436,1.093000054359436,1.093000054359436,1.093000054359436,0,0.10206908732652664
FCNTX,1980-02-28,1.0920000076293945,1.0920000076293945,1.0920000076293945,1.0920000076293945,0,0.10197567194700241
FCNTX,1980-02-29,1.1069999933242798,1.1069999933242798,1.1069999933242798,1.1069999933242798,0,0.10337642580270767
FCNTX,1980-03-03,1.097000002861023,1.097000002861023,1.097000002861023,1.097000002861023,0,0.10244263708591461
FCNTX,1980-03-04,1.0870000123977661,1.0870000123977661,1.0870000123977661,1.0870000123977661,0,0.1015087366104126
FCNTX,1980-03-05,1.0679999589920044,1.0679999589920044,1.0679999589920044,1.0679999589920044,0,0.09973441809415817
FCNTX,1980-03-06,1.0460000038146973,1.0460000038146973,1.0460000038146973,1.0460000038146973,0,0.09767995029687881
FCNTX,1980-03-07,1.0410000085830688,1.0410000085830688,1.0410000085830688,1.0410000085830688,0,0.09721303731203079
FCNTX,1980-03-10,1.0360000133514404,1.0360000133514404,1.0360000133514404,1.0360000133514404,0,0.09674609452486038
FCNTX,1980-03-11,1.0460000038146973,1.0460000038146973,1.0460000038146973,1.0460000038146973,0,0.09767995029687881
FCNTX,1980-03-12,1.0390000343322754,1.0390000343322754,1.0390000343322754,1.0390000343322754,0,0.0970262736082077
FCNTX,1980-03-13,1.0390000343322754,1.0390000343322754,1.0390000343322754,1.0390000343322754,0,0.0970262736082077
FCNTX,1980-03-14,1.0440000295639038,1.0440000295639038,1.0440000295639038,1.0440000295639038,0,0.0974932387471199
FCNTX,1980-03-17,1.0169999599456787,1.0169999599456787,1.0169999599456787,1.0169999599456787,0,0.09497183561325073
FCNTX,1980-03-18,1.027999997138977,1.027999997138977,1.027999997138977,1.027999997138977,0,0.0959990844130516
FCNTX,1980-03-19,1.027999997138977,1.027999997138977,1.027999997138977,1.027999997138977,0,0.0959990844130516
FCNTX,1980-03-20,1.0180000066757202,1.0180000066757202,1.0180000066757202,1.0180000066757202,0,0.09506521373987198
FCNTX,1980-03-21,1.0089999437332153,1.0089999437332153,1.0089999437332153,1.0089999437332153,0,0.09422480314970016
FCNTX,1980-03-24,0.9779999852180481,0.9779999852180481,0.9779999852180481,0.9779999852180481,0,0.09132984280586243
FCNTX,1980-03-25,0.9729999899864197,0.9729999899864197,0.9729999899864197,0.9729999899864197,0,0.0908629298210144
FCNTX,1980-03-26,0.9729999899864197,0.9729999899864197,0.9729999899864197,0.9729999899864197,0,0.0908629298210144
FCNTX,1980-03-27,0.9559999704360962,0.9559999704360962,0.9559999704360962,0.9559999704360962,0,0.08927538990974426
FCNTX,1980-03-28,0.9879999756813049,0.9879999756813049,0.9879999756813049,0.9879999756813049,0,0.09226369112730026
FCNTX,1980-03-31,1.0080000162124634,1.0080000162124634,1.0080000162124634,1.0080000162124634,0,0.09413136541843414
FCNTX,1980-04-01,1.0110000371932983,1.0110000371932983,1.0110000371932983,1.0110000371932983,0,0.09441151469945908
FCNTX,1980-04-02,1.0190000534057617,1.0190000534057617,1.0190000534057617,1.0190000534057617,0,0.09515859931707382
FCNTX,1980-04-03,1.0169999599456787,1.0169999599456787,1.0169999599456787,1.0169999599456787,0,0.09497183561325073
FCNTX,1980-04-07,0.9990000128746033,0.9990000128746033,0.9990000128746033,0.9990000128746033,0,0.09329091012477875
FCNTX,1980-04-08,1.0080000162124634,1.0080000162124634,1.0080000162124634,1.0080000162124634,0,0.09413136541843414
FCNTX,1980-04-09,1.0169999599456787,1.0169999599456787,1.0169999599456787,1.0169999599456787,0,0.09497183561325073
FCNTX,1980-04-10,1.0269999504089355,1.0269999504089355,1.0269999504089355,1.0269999504089355,0,0.09590566158294678
FCNTX,1980-04-11,1.0190000534057617,1.0190000534057617,1.0190000534057617,1.0190000534057617,0,0.09515859931707382
FCNTX,1980-04-14,1.003000020980835,1.003000020980835,1.003000020980835,1.003000020980835,0,0.0936644896864891
FCNTX,1980-04-15,0.9980000257492065,0.9980000257492065,0.9980000257492065,0.9980000257492065,0,0.09319755434989929
FCNTX,1980-04-16,0.9940000176429749,0.9940000176429749,0.9940000176429749,0.9940000176429749,0,0.09282399713993073
FCNTX,1980-04-17,0.9869999885559082,0.9869999885559082,0.9869999885559082,0.9869999885559082,0,0.09217031300067902
FCNTX,1980-04-18,0.9779999852180481,0.9779999852180481,0.9779999852180481,0.9779999852180481,0,0.09132984280586243
FCNTX,1980-04-21,0.9649999737739563,0.9649999737739563,0.9649999737739563,0.9649999737739563,0,0.09011586010456085
FCNTX,1980-04-22,1,1,1,1,0,0.09338431060314178
FCNTX,1980-04-23,0.9959999918937683,0.9959999918937683,0.9959999918937683,0.9959999918937683,0,0.0930107906460762
FCNTX,1980-04-24,1.0089999437332153,1.0089999437332153,1.0089999437332153,1.0089999437332153,0,0.09422480314970016
FCNTX,1980-04-25,1.0140000581741333,1.0140000581741333,1.0140000581741333,1.0140000581741333,0,0.0946916714310646
FCNTX,1980-04-28,1.0130000114440918,1.0130000114440918,1.0130000114440918,1.0130000114440918,0,0.09459830820560455
FCNTX,1980-04-29,1.0210000276565552,1.0210000276565552,1.0210000276565552,1.0210000276565552,0,0.0953453853726387
FCNTX,1980-04-30,1.0260000228881836,1.0260000228881836,1.0260000228881836,1.0260000228881836,0,0.09581226855516434
FCNTX,1980-05-01,1.0240000486373901,1.0240000486373901,1.0240000486373901,1.0240000486373901,0,0.09562556445598602
FCNTX,1980-05-02,1.0329999923706055,1.0329999923706055,1.0329999923706055,1.0329999923706055,0,0.09646596759557724
FCNTX,1980-05-05,1.0410000085830688,1.0410000085830688,1.0410000085830688,1.0410000085830688,0,0.09721303731203079
FCNTX,1980-05-06,1.0460000038146973,1.0460000038146973,1.0460000038146973,1.0460000038146973,0,0.09767995029687881
FCNTX,1980-05-07,1.059000015258789,1.059000015258789,1.059000015258789,1.059000015258789,0,0.09889395534992218
FCNTX,1980-05-08,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954,0,0.09861381351947784
FCNTX,1980-05-09,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,0,0.09805351495742798
FCNTX,1980-05-12,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191,0,0.09833366423845291
FCNTX,1980-05-13,1.0700000524520874,1.0700000524520874,1.0700000524520874,1.0700000524520874,0,0.09992121905088425
FCNTX,1980-05-14,1.0829999446868896,1.0829999446868896,1.0829999446868896,1.0829999446868896,0,0.10113522410392761
FCNTX,1980-05-15,1.0859999656677246,1.0859999656677246,1.0859999656677246,1.0859999656677246,0,0.10141538083553314
FCNTX,1980-05-16,1.090000033378601,1.090000033378601,1.090000033378601,1.090000033378601,0,0.10178891569375992
FCNTX,1980-05-19,1.0859999656677246,1.0859999656677246,1.0859999656677246,1.0859999656677246,0,0.10141538083553314
FCNTX,1980-05-20,1.0880000591278076,1.0880000591278076,1.0880000591278076,1.0880000591278076,0,0.10160209238529205
FCNTX,1980-05-21,1.0859999656677246,1.0859999656677246,1.0859999656677246,1.0859999656677246,0,0.10141538083553314
FCNTX,1980-05-22,1.0989999771118164,1.0989999771118164,1.0989999771118164,1.0989999771118164,0,0.10262934118509293
FCNTX,1980-05-23,1.1089999675750732,1.1089999675750732,1.1089999675750732,1.1089999675750732,0,0.10356314480304718
FCNTX,1980-05-27,1.1130000352859497,1.1130000352859497,1.1130000352859497,1.1130000352859497,0,0.10393674671649933
FCNTX,1980-05-28,1.1139999628067017,1.1139999628067017,1.1139999628067017,1.1139999628067017,0,0.1040300726890564
FCNTX,1980-05-29,1.0980000495910645,1.0980000495910645,1.0980000495910645,1.0980000495910645,0,0.10253599286079407
FCNTX,1980-05-30,1.1069999933242798,1.1069999933242798,1.1069999933242798,1.1069999933242798,0,0.10337642580270767
FCNTX,1980-06-02,1.1050000190734863,1.1050000190734863,1.1050000190734863,1.1050000190734863,0,0.10318966954946518
FCNTX,1980-06-03,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0,0.10272274911403656
FCNTX,1980-06-04,1.1160000562667847,1.1160000562667847,1.1160000562667847,1.1160000562667847,0,0.10421687364578247
FCNTX,1980-06-05,1.1230000257492065,1.1230000257492065,1.1230000257492065,1.1230000257492065,0,0.10487060248851776
FCNTX,1980-06-06,1.128000020980835,1.128000020980835,1.128000020980835,1.128000020980835,0,0.10533750057220459
FCNTX,1980-06-09,1.1269999742507935,1.1269999742507935,1.1269999742507935,1.1269999742507935,0,0.10524410009384155
FCNTX,1980-06-10,1.1299999952316284,1.1299999952316284,1.1299999952316284,1.1299999952316284,0,0.10552426427602768
FCNTX,1980-06-11,1.1369999647140503,1.1369999647140503,1.1369999647140503,1.1369999647140503,0,0.10617797076702118
FCNTX,1980-06-12,1.1349999904632568,1.1349999904632568,1.1349999904632568,1.1349999904632568,0,0.1059911847114563
FCNTX,1980-06-13,1.1399999856948853,1.1399999856948853,1.1399999856948853,1.1399999856948853,0,0.10645809769630432
FCNTX,1980-06-16,1.1360000371932983,1.1360000371932983,1.1360000371932983,1.1360000371932983,0,0.10608456283807755
FCNTX,1980-06-17,1.13100004196167,1.13100004196167,1.13100004196167,1.13100004196167,0,0.10561767220497131
FCNTX,1980-06-18,1.1299999952316284,1.1299999952316284,1.1299999952316284,1.1299999952316284,0,0.10552426427602768
FCNTX,1980-06-19,1.1139999628067017,1.1139999628067017,1.1139999628067017,1.1139999628067017,0,0.1040300726890564
FCNTX,1980-06-20,1.1150000095367432,1.1150000095367432,1.1150000095367432,1.1150000095367432,0,0.10412350296974182
FCNTX,1980-06-23,1.1169999837875366,1.1169999837875366,1.1169999837875366,1.1169999837875366,0,0.10431032627820969
FCNTX,1980-06-24,1.1260000467300415,1.1260000467300415,1.1260000467300415,1.1260000467300415,0,0.10515068471431732
FCNTX,1980-06-25,1.1419999599456787,1.1419999599456787,1.1419999599456787,1.1419999599456787,0,0.10664491355419159
FCNTX,1980-06-26,1.1349999904632568,1.1349999904632568,1.1349999904632568,1.1349999904632568,0,0.1059911847114563
FCNTX,1980-06-27,1.1319999694824219,1.1319999694824219,1.1319999694824219,1.1319999694824219,0,0.10571101307868958
FCNTX,1980-06-30,1.1200000047683716,1.1200000047683716,1.1200000047683716,1.1200000047683716,0,0.10459043830633163
FCNTX,1980-07-01,1.1239999532699585,1.1239999532699585,1.1239999532699585,1.1239999532699585,0,0.10496395826339722
FCNTX,1980-07-02,1.1339999437332153,1.1339999437332153,1.1339999437332153,1.1339999437332153,0,0.10589781403541565
FCNTX,1980-07-03,1.1510000228881836,1.1510000228881836,1.1510000228881836,1.1510000228881836,0,0.1074853166937828
FCNTX,1980-07-07,1.1629999876022339,1.1629999876022339,1.1629999876022339,1.1629999876022339,0,0.10860596597194672
FCNTX,1980-07-08,1.159999966621399,1.159999966621399,1.159999966621399,1.159999966621399,0,0.10832583159208298
FCNTX,1980-07-09,1.1679999828338623,1.1679999828338623,1.1679999828338623,1.1679999828338623,0,0.10907281935214996
FCNTX,1980-07-10,1.1619999408721924,1.1619999408721924,1.1619999408721924,1.1619999408721924,0,0.10851255059242249
FCNTX,1980-07-11,1.1710000038146973,1.1710000038146973,1.1710000038146973,1.1710000038146973,0,0.10935299843549728
FCNTX,1980-07-14,1.1929999589920044,1.1929999589920044,1.1929999589920044,1.1929999589920044,0,0.11140746623277664
FCNTX,1980-07-15,1.190000057220459,1.190000057220459,1.190000057220459,1.190000057220459,0,0.1111273467540741
FCNTX,1980-07-16,1.187000036239624,1.187000036239624,1.187000036239624,1.187000036239624,0,0.11084719747304916
FCNTX,1980-07-17,1.2009999752044678,1.2009999752044678,1.2009999752044678,1.2009999752044678,0,0.11215456575155258
FCNTX,1980-07-18,1.2109999656677246,1.2109999656677246,1.2109999656677246,1.2109999656677246,0,0.11308836936950684
FCNTX,1980-07-21,1.215999960899353,1.215999960899353,1.215999960899353,1.215999960899353,0,0.11355529725551605
FCNTX,1980-07-22,1.2170000076293945,1.2170000076293945,1.2170000076293945,1.2170000076293945,0,0.11364869028329849
FCNTX,1980-07-23,1.215000033378601,1.215000033378601,1.215000033378601,1.215000033378601,0,0.1134619489312172
FCNTX,1980-07-24,1.215000033378601,1.215000033378601,1.215000033378601,1.215000033378601,0,0.1134619489312172
FCNTX,1980-07-25,1.2070000171661377,1.2070000171661377,1.2070000171661377,1.2070000171661377,0,0.11271487921476364
FCNTX,1980-07-28,1.2079999446868896,1.2079999446868896,1.2079999446868896,1.2079999446868896,0,0.1128082200884819
FCNTX,1980-07-29,1.2170000076293945,1.2170000076293945,1.2170000076293945,1.2170000076293945,0,0.11364869028329849
FCNTX,1980-07-30,1.2339999675750732,1.2339999675750732,1.2339999675750732,1.2339999675750732,0,0.11523621529340744
FCNTX,1980-07-31,1.2359999418258667,1.2359999418258667,1.2359999418258667,1.2359999418258667,0,0.11542300134897232
FCNTX,1980-08-01,1.2309999465942383,1.2309999465942383,1.2309999465942383,1.2309999465942383,0,0.11495614051818848
FCNTX,1980-08-04,1.2350000143051147,1.2350000143051147,1.2350000143051147,1.2350000143051147,0,0.11532963067293167
FCNTX,1980-08-05,1.2350000143051147,1.2350000143051147,1.2350000143051147,1.2350000143051147,0,0.11532963067293167
FCNTX,1980-08-06,1.2419999837875366,1.2419999837875366,1.2419999837875366,1.2419999837875366,0,0.11598328500986099
FCNTX,1980-08-07,1.2630000114440918,1.2630000114440918,1.2630000114440918,1.2630000114440918,0,0.11794441193342209
FCNTX,1980-08-08,1.2680000066757202,1.2680000066757202,1.2680000066757202,1.2680000066757202,0,0.11841128766536713
FCNTX,1980-08-11,1.2760000228881836,1.2760000228881836,1.2760000228881836,1.2760000228881836,0,0.11915837973356247
FCNTX,1980-08-12,1.2740000486373901,1.2740000486373901,1.2740000486373901,1.2740000486373901,0,0.11897153407335281
FCNTX,1980-08-13,1.2660000324249268,1.2660000324249268,1.2660000324249268,1.2660000324249268,0,0.11822455376386642
FCNTX,1980-08-14,1.277999997138977,1.277999997138977,1.277999997138977,1.277999997138977,0,0.11934518814086914
FCNTX,1980-08-15,1.2869999408721924,1.2869999408721924,1.2869999408721924,1.2869999408721924,0,0.12018553912639618
FCNTX,1980-08-18,1.2690000534057617,1.2690000534057617,1.2690000534057617,1.2690000534057617,0,0.11850468814373016
FCNTX,1980-08-19,1.2610000371932983,1.2610000371932983,1.2610000371932983,1.2610000371932983,0,0.11775760352611542
FCNTX,1980-08-20,1.2610000371932983,1.2610000371932983,1.2610000371932983,1.2610000371932983,0,0.11775760352611542
FCNTX,1980-08-21,1.2719999551773071,1.2719999551773071,1.2719999551773071,1.2719999551773071,0,0.1187848225235939
FCNTX,1980-08-22,1.281999945640564,1.281999945640564,1.281999945640564,1.281999945640564,0,0.11971866339445114
FCNTX,1980-08-25,1.277999997138977,1.277999997138977,1.277999997138977,1.277999997138977,0,0.11934518814086914
FCNTX,1980-08-26,1.2730000019073486,1.2730000019073486,1.2730000019073486,1.2730000019073486,0,0.11887820810079575
FCNTX,1980-08-27,1.2619999647140503,1.2619999647140503,1.2619999647140503,1.2619999647140503,0,0.11785101890563965
FCNTX,1980-08-28,1.2480000257492065,1.2480000257492065,1.2480000257492065,1.2480000257492065,0,0.11654353886842728
FCNTX,1980-08-29,1.246000051498413,1.246000051498413,1.246000051498413,1.246000051498413,0,0.11635686457157135
FCNTX,1980-09-02,1.2549999952316284,1.2549999952316284,1.2549999952316284,1.2549999952316284,0,0.11719729751348495
FCNTX,1980-09-03,1.277999997138977,1.277999997138977,1.277999997138977,1.277999997138977,0,0.11934518814086914
FCNTX,1980-09-04,1.281000018119812,1.281000018119812,1.281000018119812,1.281000018119812,0,0.11962529271841049
FCNTX,1980-09-05,1.281999945640564,1.281999945640564,1.281999945640564,1.281999945640564,0,0.11971866339445114
FCNTX,1980-09-08,1.2690000534057617,1.2690000534057617,1.2690000534057617,1.2690000534057617,0,0.11850468814373016
FCNTX,1980-09-09,1.274999976158142,1.274999976158142,1.274999976158142,1.274999976158142,0,0.11906496435403824
FCNTX,1980-09-10,1.281999945640564,1.281999945640564,1.281999945640564,1.281999945640564,0,0.11971866339445114
