This file was created using the 202607 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks
Mom    is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -12 to - 2.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom
194510,   0.17
194511,   4.31
194512,   1.25
194601,   3.79
194602,  -1.43
194603,   2.70
194604,   3.04
194605,  -0.58
194606,  -2.51
194607,   0.22
194608,  -0.05
194609,   0.70
194610,   0.91
194611,   0.28
194612,   0.09
194701,  -6.32
194702,  -0.49
194703,   4.10
194704,   5.41
194705,   3.37
194706,  -1.84
194707,  -3.38
194708,   3.40
194709,   0.10
194710,   1.56
194711,   4.26
194712,   3.62
194801,  -4.19
194802,   1.41
194803,  -0.34
194804,   4.10
194805,   2.33
194806,   3.98
194807,  -1.61
194808,   0.20
194809,  -1.36
194810,   2.73
194811,   0.58
194812,   4.66
194901,  -2.92
194902,  -0.43
194903,  -0.81
194904,   3.13
194905,   3.06
194906,  -1.29
194907,  -1.47
194908,   1.58
194909,  -1.32
194910,   0.02
194911,   1.22
194912,  -0.82
195001,  -2.27
195002,   1.38
195003,   1.46
195004,   0.27
195005,   0.29
195006,  -1.58
195007,  -0.52
195008,   3.20
195009,  -0.20
195010,   1.51
195011,   3.52
195012,   4.95
195101,   2.32
195102,  -1.95
195103,  -2.93
195104,   5.98
195105,  -0.96
195106,  -2.45
195107,   7.18
195108,   0.64
195109,   0.60
195110,  -0.21
195111,   0.51
195112,   1.75
195201,   1.37
195202,  -0.68
195203,   1.65
195204,  -2.01
195205,   0.56
195206,   1.49
195207,  -0.55
195208,   0.34
195209,   1.73
195210,   2.73
195211,   0.40
195212,   1.49
195301,   0.74
195302,   0.80
195303,   0.14
195304,   1.84
195305,   0.90
195306,   0.00
195307,  -0.37
195308,   2.14
195309,   2.90
195310,   0.23
195311,   1.96
195312,   5.21
195401,  -5.84
195402,   1.04
195403,   2.13
195404,   5.08
195405,  -2.03
195406,   3.55
195407,   0.43
195408,  -0.67
195409,   1.66
195410,   0.92
195411,   1.87
195412,  -1.40
195501,   1.47
195502,   1.04
195503,   0.99
195504,   0.01
195505,   0.61
195506,   4.72
195507,  -1.21
195508,   1.75
195509,   1.80
195510,  -0.51
195511,   2.57
195512,  -1.21
195601,  -1.50
195602,   2.01
195603,   3.52
195604,   2.67
195605,  -1.61
195606,   2.67
195607,   2.54
195608,  -0.71
195609,  -0.77
195610,   2.49
195611,   3.42
195612,   3.79
195701,  -3.07
195702,   0.36
195703,  -0.24
195704,   1.00
195705,   0.56
195706,   0.72
195707,  -0.07
195708,   0.44
195709,   0.60
195710,   2.03
195711,   1.27
195712,   7.81
195801,  -7.57
195802,   3.72
195803,  -1.79
195804,   1.90
195805,  -1.74
195806,  -0.89
195807,  -3.58
195808,   0.14
195809,  -1.12
195810,   3.13
195811,   1.53
195812,  -0.71
195901,  -0.29
195902,   3.44
195903,   0.22
195904,   3.17
195905,   1.50
195906,   3.14
195907,  -0.35
195908,  -1.00
195909,   0.78
195910,   3.43
195911,   2.30
195912,   1.03
196001,  -3.51
196002,   4.00
196003,   1.41
196004,   2.84
196005,   4.79
196006,   0.89
196007,  -0.71
196008,   1.51
196009,   0.35
196010,   1.26
196011,   3.63
196012,   1.36
196101,  -4.00
196102,   1.00
196103,   4.32
196104,   3.67
196105,  -1.57
196106,   0.30
196107,   0.22
196108,   1.64
196109,   0.79
196110,   3.07
196111,   1.35
196112,  -2.18
196201,  -2.04
196202,  -1.00
196203,   1.89
196204,   2.89
196205,   0.41
196206,   6.40
196207,   0.50
196208,  -0.56
196209,   3.96
196210,   0.79
196211,  -7.23
196212,   5.90
196301,  -2.14
196302,   2.52
196303,   1.58
196304,  -0.06
196305,   0.29
196306,   1.16
196307,   1.01
196308,   1.00
196309,   0.12
196310,   3.13
196311,  -0.77
196312,   1.84
196401,   0.81
196402,   0.33
196403,   0.73
196404,  -0.64
196405,   2.53
196406,   0.47
196407,  -0.37
196408,  -0.24
196409,  -0.39
196410,   0.19
196411,   1.10
196412,  -0.70
196501,  -1.39
196502,   0.24
196503,   0.17
196504,   2.53
196505,   0.56
196506,  -3.18
196507,   4.09
196508,   2.57
196509,   3.28
196510,   3.44
196511,   4.41
196512,  -0.10
196601,   5.25
196602,   4.59
196603,   1.46
196604,   5.93
196605,  -4.73
196606,   3.24
196607,  -1.30
196608,  -2.21
196609,  -1.87
196610,  -5.20
196611,   5.76
196612,   0.99
196701,  -6.94
196702,   3.51
196703,   1.39
196704,   0.52
196705,   0.65
196706,   6.01
196707,  -1.08
196708,  -1.33
196709,   2.39
196710,   3.64
196711,   1.22
196712,   3.21
196801,  -4.49
196802,  -3.36
196803,   3.19
196804,   5.13
196805,   3.77
196806,  -2.10
196807,  -0.88
196808,   1.93
196809,  -0.68
196810,  -1.44
196811,   1.79
196812,   0.32
196901,  -0.13
196902,  -2.50
196903,   4.06
196904,   1.10
196905,   1.77
196906,  -2.30
196907,   1.81
196908,   2.10
196909,   2.41
196910,  -4.36
196911,   3.68
196912,   5.27
197001,   0.56
197002,   0.27
197003,  -0.37
197004,  -0.83
197005,  -2.66
197006,   5.63
197007,  -3.11
197008,  -6.73
197009,  -8.64
197010,   9.46
197011,   2.60
197012,  -2.29
197101,  -6.85
197102,   0.83
197103,  -1.36
197104,   1.34
197105,   0.93
197106,   2.69
197107,  -2.32
197108,   3.45
197109,   2.10
197110,   0.50
197111,   1.51
197112,  -0.61
197201,   0.07
197202,   2.53
197203,   2.94
197204,   2.79
197205,   3.33
197206,   1.90
197207,   2.68
197208,  -5.36
197209,   1.82
197210,   0.70
197211,  -5.08
197212,   4.95
197301,   3.82
197302,   2.18
197303,   3.55
197304,   6.35
197305,   7.18
197306,   4.31
197307, -11.66
197308,   3.59
197309,  -6.98
197310,   6.78
197311,   8.78
197312,  10.16
197401,  -8.91
197402,   0.37
197403,  -1.00
197404,   2.06
197405,  -0.29
197406,   2.32
197407,   3.00
197408,   3.03
197409,   4.24
197410,  -0.52
197411,   2.20
197412,   2.98
197501, -13.79
197502,  -0.58
197503,  -2.07
197504,   1.52
197505,  -0.58
197506,  -0.05
197507,   0.35
197508,  -0.16
197509,   0.40
197510,  -0.22
197511,  -0.50
197512,  -0.10
197601,   4.39
197602,   0.38
197603,   0.23
197604,   0.53
197605,  -1.06
197606,  -0.44
197607,  -0.15
197608,  -0.78
197609,   0.20
197610,  -0.42
197611,   2.81
197612,   0.75
197701,   4.05
197702,   0.35
197703,   0.68
197704,   4.19
197705,   2.01
197706,   1.60
197707,   0.40
197708,  -1.63
197709,   2.09
197710,  -0.11
197711,   2.14
197712,   1.60
197801,  -0.57
197802,   1.96
197803,   1.45
197804,   0.49
197805,   2.76
197806,   2.79
197807,   4.19
197808,   3.00
197809,  -3.19
197810,  -8.47
197811,   5.45
197812,   3.02
197901,  -1.42
197902,  -0.99
197903,   2.91
197904,   0.88
197905,  -0.58
197906,   0.76
197907,  -1.07
197908,  -0.29
197909,   5.28
197910,   2.06
197911,   8.06
197912,   4.73
198001,   7.46
198002,   7.91
198003,  -9.59
198004,  -0.50
198005,  -1.18
198006,   1.58
198007,   0.32
198008,   3.08
198009,   5.44
198010,   7.14
198011,  15.19
198012,  -6.69
198101,  -7.90
198102,  -1.38
198103,   0.83
198104,  -1.08
198105,   3.55
198106,  -5.69
198107,  -2.45
198108,  -1.09
198109,   2.13
198110,   3.93
198111,  -0.20
198112,   1.27
198201,   1.76
198202,   4.87
198203,   2.91
198204,  -0.46
198205,   2.51
198206,   4.88
198207,   4.40
198208,  -3.56
198209,   4.14
198210,   0.00
198211,   5.91
198212,   0.00
198301,  -1.64
198302,   3.71
198303,   0.88
198304,   1.64
198305,  -1.56
198306,   1.86
198307,  -3.08
198308,  -5.36
198309,  -0.01
198310,  -4.48
198311,  -0.13
198312,   0.82
198401,  -2.57
198402,   0.45
198403,   1.12
198404,   2.14
198405,   1.52
198406,  -0.55
198407,   2.78
198408,  -5.60
198409,   3.64
198410,   3.29
198411,   1.57
198412,   1.40
198501,  -6.77
198502,   1.86
198503,   1.79
198504,   2.95
198505,   4.06
198506,   3.39
198507,  -3.85
198508,   1.78
198509,   1.59
198510,   4.86
198511,  -0.58
198512,  -0.23
198601,   2.96
198602,   2.59
198603,   2.40
198604,  -0.34
198605,   2.09
198606,   4.95
198607,   1.90
198608,  -5.16
198609,  -5.69
198610,   4.46
198611,  -0.25
198612,   0.46
198701,   2.06
198702,  -2.23
198703,   1.66
198704,   0.21
198705,  -0.80
198706,  -0.22
198707,   2.58
198708,  -0.95
198709,   0.80
198710,  -7.72
198711,  -1.23
198712,   5.87
198801,  -7.36
198802,  -1.47
198803,   0.56
198804,   2.21
198805,   0.66
198806,  -3.02
198807,   0.65
198808,   0.36
198809,   0.29
198810,   1.31
198811,   0.20
198812,   0.32
198901,  -0.20
198902,   1.01
198903,   3.50
198904,   1.80
198905,   1.46
198906,   0.44
198907,   5.32
198908,  -0.47
198909,   3.49
198910,   1.36
198911,   2.68
198912,   2.77
199001,  -3.00
199002,  -0.51
199003,   1.73
199004,   2.31
199005,   3.12
199006,   2.51
199007,   6.04
199008,   1.96
199009,   5.76
199010,   6.71
199011,  -5.46
199012,   0.24
199101,  -6.45
199102,  -4.90
199103,   2.74
199104,  -2.33
199105,  -0.10
199106,   0.42
199107,   4.26
199108,   1.58
199109,   1.74
199110,   3.18
199111,   1.18
199112,   8.27
199201,  -2.49
199202,  -0.69
199203,  -0.24
199204,  -2.51
199205,   0.07
199206,  -0.57
199207,   1.53
199208,  -0.49
199209,   1.41
199210,   2.59
199211,  -0.23
199212,   4.46
199301,   4.84
199302,   3.12
199303,   3.72
199304,   0.36
199305,   0.20
199306,   4.55
199307,   3.23
199308,   2.59
199309,   3.44
199310,  -2.69
199311,  -4.80
199312,   2.36
199401,   0.10
199402,  -0.38
199403,  -1.31
199404,   0.34
199405,  -2.07
199406,  -0.88
199407,   0.12
199408,   1.54
199409,   1.31
199410,   1.43
199411,  -0.15
199412,   3.46
199501,  -1.81
199502,  -0.43
199503,   0.43
199504,   1.79
199505,  -0.54
199506,   3.02
199507,   2.54
199508,   0.14
199509,   2.87
199510,   4.18
199511,  -0.72
199512,   2.50
199601,   0.55
199602,   0.57
199603,  -1.85
199604,  -0.96
199605,   1.60
199606,   1.00
199607,  -0.15
199608,  -0.01
199609,   2.66
199610,   3.79
199611,  -2.34
199612,   0.58
199701,   1.92
199702,  -2.08
199703,   0.90
199704,   4.84
199705,  -5.20
199706,   2.60
199707,   3.69
199708,  -2.64
199709,   1.48
199710,  -0.54
199711,   0.42
199712,   3.93
199801,   0.08
199802,  -1.19
199803,   2.14
199804,   0.68
199805,   1.97
199806,   8.05
199807,   3.79
199808,   1.87
199809,  -0.69
199810,  -5.34
199811,   1.14
199812,   8.88
199901,   2.85
199902,  -0.08
199903,  -1.21
199904,  -8.92
199905,  -5.28
199906,   4.66
199907,   1.70
199908,   2.93
199909,   6.40
199910,   5.41
199911,   5.50
199912,  13.15
200001,   1.84
200002,  18.05
200003,  -6.86
200004,  -8.59
200005,  -8.93
200006,  16.64
200007,  -0.18
200008,   5.61
200009,   1.89
200010,  -4.51
200011,  -2.18
200012,   6.62
200101, -25.36
200102,  12.68
200103,   8.58
200104,  -7.96
200105,   2.43
200106,   0.61
200107,   5.47
200108,   5.49
200109,  11.40
200110,  -8.40
200111,  -8.62
200112,   0.05
200201,   3.66
200202,   6.88
200203,  -1.66
200204,   7.69
200205,   3.12
200206,   6.22
200207,   3.65
200208,   1.84
200209,   9.00
200210,  -5.47
200211, -16.45
200212,   9.71
200301,   1.53
200302,   1.21
200303,   1.42
200304,  -9.32
200305, -10.72
200306,  -1.24
200307,  -0.28
200308,  -0.58
200309,  -0.07
200310,   4.00
200311,   1.37
200312,  -5.53
200401,   2.56
200402,  -1.18
200403,   0.20
200404,  -5.37
200405,   1.49
200406,   2.06
200407,  -2.24
200408,  -1.56
200409,   5.50
200410,  -1.49
200411,   3.11
200412,  -2.85
200501,   3.12
200502,   3.43
200503,   0.43
200504,  -0.70
200505,   0.37
200506,   2.08
200507,   0.05
200508,   2.05
200509,   3.46
200510,  -1.27
200511,   0.29
200512,   0.80
200601,   2.53
200602,  -1.82
200603,   1.27
200604,   0.61
200605,  -3.67
200606,   1.55
200607,  -2.05
200608,  -3.37
200609,  -0.98
200610,  -0.24
200611,  -1.01
200612,   0.79
200701,   0.25
200702,  -1.31
200703,   2.59
200704,  -0.21
200705,  -0.34
200706,   0.47
200707,   2.94
200708,  -0.02
200709,   4.44
200710,   4.98
200711,   1.09
200712,   6.57
200801,  -7.78
200802,   6.13
200803,   4.25
200804,  -0.31
200805,   3.38
200806,  12.73
200807,  -5.02
200808,  -4.50
200809,   0.78
200810,   7.84
200811,   7.26
200812,  -5.08
200901,  -2.16
200902,   4.34
200903, -11.80
200904, -34.36
200905, -12.54
200906,   5.40
200907,  -5.61
200908,  -9.11
200909,  -4.83
200910,   2.58
200911,   0.39
200912,   2.97
201001,  -5.31
201002,   3.70
201003,   3.58
201004,   3.19
201005,  -0.18
201006,  -2.70
201007,   1.77
201008,  -0.06
201009,   1.35
201010,   1.50
201011,   2.71
201012,  -3.00
201101,  -0.30
201102,   1.89
201103,   3.42
201104,   0.06
201105,  -0.58
201106,   1.82
201107,   0.17
201108,  -0.26
201109,  -2.36
201110,  -1.45
201111,   3.85
201112,   1.83
201201,  -8.01
201202,  -0.26
201203,   1.32
201204,   3.78
201205,   6.45
201206,  -1.11
201207,   3.00
201208,  -2.34
201209,  -1.14
201210,   0.07
201211,   0.53
201212,  -2.93
201301,  -1.77
201302,   1.24
201303,   1.91
201304,   0.19
201305,  -2.01
201306,   0.58
201307,   1.75
201308,   0.05
201309,   3.04
201310,   0.07
201311,   0.36
201312,   0.02
201401,   1.64
201402,   2.16
201403,  -3.27
201404,  -3.89
201405,   0.88
201406,   0.65
201407,  -0.20
201408,   0.84
201409,   0.64
201410,  -0.27
201411,   0.69
201412,   1.05
201501,   3.72
201502,  -2.87
201503,   2.72
201504,  -7.26
201505,   5.76
201506,   3.01
201507,  10.04
201508,  -2.15
201509,   5.26
201510,  -3.29
201511,   2.30
201512,   3.33
201601,   1.48
201602,  -4.36
201603,  -5.04
201604,  -5.99
201605,   1.39
201606,   4.14
201607,  -3.38
201608,  -3.46
201609,   0.23
201610,   0.62
201611,  -4.74
201612,  -0.26
201701,  -0.92
201702,  -1.53
201703,  -0.96
201704,   0.51
201705,   1.49
201706,  -0.11
201707,   1.64
201708,   3.36
201709,  -1.34
201710,   4.24
201711,  -0.91
201712,  -1.57
201801,   4.06
201802,   3.60
201803,  -1.21
201804,   0.45
201805,   3.91
201806,  -2.29
201807,  -1.43
201808,   5.33
201809,  -0.10
201810,  -2.00
201811,  -1.42
201812,   1.75
201901,  -8.64
201902,   0.76
201903,   2.27
201904,  -2.91
201905,   7.56
201906,  -2.26
201907,   2.93
201908,   7.47
201909,  -6.74
201910,   0.13
201911,  -2.61
201912,  -2.24
202001,   6.02
202002,  -0.25
202003,   8.20
202004,  -5.61
202005,   0.15
202006,  -0.87
202007,   7.70
202008,   0.43
202009,   3.18
202010,  -3.10
202011, -12.60
202012,  -2.26
202101,   4.34
202102,  -7.99
202103,  -6.10
202104,   1.22
202105,   0.56
202106,   2.07
202107,  -2.18
202108,   2.63
202109,   1.43
202110,   3.31
202111,   0.96
202112,  -2.40
202201,  -2.43
202202,   1.62
202203,   2.92
202204,   4.98
202205,   2.52
202206,   1.06
202207,  -4.41
202208,   1.89
202209,   3.71
202210,   3.94
202211,  -1.71
202212,   4.94
202301, -16.21
202302,   0.52
202303,  -2.38
202304,   1.75
202305,  -0.88
202306,  -2.71
202307,  -3.99
202308,   3.90
202309,   0.25
202310,   1.69
202311,   2.59
202312,  -5.50
202401,   5.46
202402,   5.01
202403,  -0.32
202404,  -0.43
202405,   1.45
202406,   0.86
202407,  -2.36
202408,   4.86
202409,  -0.60
202410,   2.98
202411,   0.81
202412,  -0.30
202501,   1.01
202502,  -0.86
202503,  -2.64
202504,   5.01
202505,   2.25
202506,  -2.65
202507,  -0.94
202508,  -3.61
202509,   4.62
202510,   0.16
202511,  -1.72
202512,  -2.40
202601,   5.03
202602,   1.31
202603,   1.56
202604,   9.51
202605,   1.39
202606,   4.62
202607, -12.25

Annual Factors:
January-December 
,Mom
  1927,  24.52
  1928,  26.43
  1929,  19.76
  1930,  24.09
  1931,  23.16
  1932, -20.49
  1933,  18.82
  1934,  18.71
  1935,  21.03
  1936,   6.54
  1937,  -3.97
  1938,  -3.37
  1939,  -0.25
  1940,   6.21
  1941,  10.05
  1942, -16.55
  1943,  14.45
  1944,   9.79
  1945,  16.16
  1946,   5.82
  1947,  14.89
  1948,  11.48
  1949,   0.49
  1950,  15.15
  1951,  11.07
  1952,   9.07
  1953,  16.19
  1954,  10.23
  1955,  14.14
  1956,  19.07
  1957,  10.04
  1958,  -9.52
  1959,  19.47
  1960,  17.06
  1961,  11.07
  1962,  11.95
  1963,  11.59
  1964,   4.38
  1965,  20.05
  1966,   9.90
  1967,  21.82
  1968,   2.81
  1969,  10.21
  1970,  -4.07
  1971,   3.37
  1972,  15.21
  1973,  29.50
  1974,   8.37
  1975, -19.17
  1976,   7.46
  1977,  18.09
  1978,  11.73
  1979,  26.22
  1980,  36.26
  1981,  -8.12
  1982,  34.07
  1983,  -9.68
  1984,   9.28
  1985,  14.63
  1986,  10.55
  1987,  -3.87
  1988,  -5.65
  1989,  27.35
  1990,  18.61
  1991,  14.30
  1992,   3.34
  1993,  23.65
  1994,   3.11
  1995,  17.83
  1996,   6.28
  1997,  11.34
  1998,  24.06
  1999,  34.03
  2000,  14.87
  2001,   4.95
  2002,  25.65
  2003, -24.62
  2004,  -0.51
  2005,  14.99
  2006,  -7.69
  2007,  21.81
  2008,  13.72
  2009, -83.48
  2010,   6.77
  2011,   7.28
  2012,   1.07
  2013,   7.36
  2014,   0.85
  2015,  20.21
  2016, -21.23
  2017,   4.80
  2018,   9.50
  2019,  -2.09
  2020,   7.34
  2021,  -2.32
  2022,  15.93
  2023, -24.31
  2024,  19.72
  2025,  -2.27

Copyright 2026 Eugene F. Fama and Kenneth R. French
