result,computed_value,crsp_202607_reference,difference,matches_reference
FF3 second-stage J,78.4866414920891,78.4866414921,-1.0899725566559937e-11,TRUE
FF3 plus momentum second-stage J,43.632124647672406,43.6321246477,-2.759747985692229e-11,TRUE
FF5 second-stage J,54.52894939539252,54.5289493954,-7.474909580196254e-12,TRUE
FF3 first-stage RMSE (%),0.16287882807242066,0.162878828072,4.206635040304718e-13,TRUE
FF3 second-stage RMSE (%),0.1853493491451403,0.185349349145,1.4030443473700416e-13,TRUE
