source,url,downloaded_at_utc,crsp_version,declared_version,archive_zip,archive_csv,zip_md5,csv_md5
ff3,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_Factors_CSV.zip,2026-09-10 07:32:45 UTC,202607,This file was created using the 202607 CRSP database.,data/asset-pricing/crsp-202607/downloaded-2026-09-10/ff3.zip,data/asset-pricing/crsp-202607/downloaded-2026-09-10/ff3.csv,e7290b42a4377988f4d832cf805f9dec,6ee9553167dbc257e744399c9096c1fb
momentum,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Momentum_Factor_CSV.zip,2026-09-10 07:32:46 UTC,202607,This file was created using the 202607 CRSP database.  It,data/asset-pricing/crsp-202607/downloaded-2026-09-10/momentum.zip,data/asset-pricing/crsp-202607/downloaded-2026-09-10/momentum.csv,4525c8da7ffb4083fd70ce3105dae880,ab8d0d05f41d16b26e92642de007bd17
ff5,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_CSV.zip,2026-09-10 07:32:46 UTC,202607,This file was created using the 202607 CRSP database.,data/asset-pricing/crsp-202607/downloaded-2026-09-10/ff5.zip,data/asset-pricing/crsp-202607/downloaded-2026-09-10/ff5.csv,842c647b5b2afd50191f52f791411ed1,3f7fcf406d25f714892ed2f2e8ea81ef
portfolios_25,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/25_Portfolios_5x5_CSV.zip,2026-09-10 07:32:48 UTC,202607,This file was created using the 202607 CRSP database.,data/asset-pricing/crsp-202607/downloaded-2026-09-10/portfolios_25.zip,data/asset-pricing/crsp-202607/downloaded-2026-09-10/portfolios_25.csv,925e3d04979a07e5d29cad44c238290b,9f57b794f98bc1db74f2421ab01e95d0
